GEOID,PercU18,Total,Perc_two_or_more,Perc_white,Perc_black_afam,Perc_amindian_alnative,Perc_asian,Perc_hawaii_pi,Perc_other_race
6001400100,15.6,3120,6.0,76.7,3.4,0.0,12.8,0.0,1.1
6001400200,18.4,2007,9.3,78.6,2.6,0.2,8.5,0.0,0.8
6001400300,15.6,5051,1.9,74.2,9.1,0.0,11.7,0.5,2.7
6001400400,18.6,4007,7.6,68.6,7.3,1.1,10.5,0.0,5.0
6001400500,14.5,4124,15.2,49.4,21.4,0.0,10.8,0.5,2.7
6001400600,14.9,1745,10.5,53.6,21.5,0.2,11.1,0.9,2.2
6001400700,14.1,5128,11.1,42.6,28.5,0.3,6.4,0.0,11.2
6001400800,17.1,4069,9.4,44.9,24.7,0.7,15.2,0.0,5.0
6001400900,18.8,2471,6.2,50.1,28.8,2.5,4.1,0.0,8.4
6001401000,14.5,6133,9.7,40.8,32.3,0.2,6.7,1.5,8.8
6001401100,11.0,4287,7.4,58.0,8.4,0.0,19.8,0.3,6.1
6001401200,12.2,2619,4.5,67.7,11.5,0.3,11.5,0.0,4.5
6001401300,8.3,3921,7.7,41.7,29.3,0.9,16.9,0.0,3.5
6001401400,14.3,4732,10.0,31.9,31.9,1.5,12.0,0.3,12.3
6001401500,11.3,2839,8.1,39.0,37.5,0.4,4.5,0.8,9.6
6001401600,15.8,2289,6.6,35.6,35.9,0.0,10.7,0.9,10.2
6001401700,14.7,3018,9.1,47.4,17.0,0.0,12.2,0.6,13.7
6001401800,15.2,1801,4.5,36.3,38.5,0.7,5.5,0.0,14.5
6001402200,22.9,2477,7.8,33.5,32.2,1.6,16.4,0.0,8.6
6001402400,12.6,2866,6.1,27.4,50.7,0.0,12.6,0.3,2.7
6001402500,27.6,1781,8.7,11.8,59.8,0.0,13.3,0.0,6.3
6001402600,11.4,1243,7.0,23.2,25.9,0.5,38.7,0.0,4.7
6001402700,16.5,1890,3.2,28.6,42.9,0.6,10.8,0.0,13.8
6001402800,8.7,4480,9.9,30.1,38.1,0.6,18.6,0.0,2.8
6001402900,3.3,1406,6.0,24.8,18.4,0.2,38.0,0.0,12.7
6001403000,8.7,2905,2.1,7.8,4.4,0.3,81.4,2.5,1.5
6001403100,6.5,2101,4.7,33.2,17.9,0.3,38.4,0.6,5.0
6001403300,8.4,4178,5.7,29.9,7.5,2.9,52.2,0.0,1.8
6001403400,7.4,4340,6.2,42.0,19.9,0.4,26.0,0.8,4.7
6001403501,10.1,4492,11.8,41.8,24.4,1.2,18.6,0.9,1.3
6001403502,4.8,2044,10.8,47.1,25.9,0.0,12.4,0.0,3.7
6001403600,13.9,5570,7.3,34.4,43.0,0.2,11.0,0.0,4.0
6001403701,6.4,2968,5.3,49.2,27.0,0.0,12.8,0.0,5.7
6001403702,7.3,1930,6.0,54.7,15.4,0.0,17.7,0.0,6.2
6001403800,11.9,3351,5.0,69.9,13.0,0.0,11.7,0.1,0.3
6001403900,11.9,4051,7.1,61.1,13.6,0.2,16.2,0.0,1.9
6001404000,10.0,2895,9.9,64.0,8.4,1.0,10.2,2.5,4.0
6001404101,11.2,3017,8.9,66.4,7.9,0.4,12.6,0.0,3.8
6001404102,6.8,2653,5.7,71.2,4.9,1.4,12.6,0.8,3.5
6001404200,23.6,3877,6.2,65.3,6.6,0.2,19.0,0.9,1.9
