GEOID,Total
6001400200,0.1494
6001400300,0.2771
6001400400,0.2121
6001400500,0.1184
6001400600,0.2059
6001400700,0.513
6001400800,0.3602
6001400900,0.2935
6001401000,0.5444
6001401100,0.2795
6001401200,0.1039
6001401300,0.6918
6001401400,0.6206
6001401500,0.5053
6001401600,0.6427
6001401700,0.5349
6001401800,0.5068
6001402200,0.6655
6001402400,0.6224
6001402500,0.8454
6001402600,0.8469
6001402700,0.5558
6001402800,0.7759999999999999
6001402900,0.7901
6001403000,0.9751
6001403100,0.8408
6001403300,0.8148
6001403400,0.4986
6001403501,0.5644
6001403502,0.3701
6001403600,0.4645
6001403701,0.3517
6001403702,0.2195
6001403800,0.0765
6001403900,0.3257
6001404000,0.1043
6001404101,0.1753
6001404102,0.4147
6001404200,0.1565
6001404300,0.0583
6001404400,0.0099
6001404501,0.0132
6001404502,0.0306
6001404600,0.0154
6001404700,0.0018
6001404800,0.3037
6001404900,0.2209
6001405000,0.1611
6001405100,0.0016
6001405200,0.2691
6001405301,0.2802
6001405302,0.6461
6001405401,0.8086
6001405402,0.7933
6001405500,0.504
6001405600,0.46
6001405700,0.7278
6001405800,0.7261
6001405901,0.9951
6001405902,0.8618
6001406000,0.8556
6001406100,0.8442
6001406201,0.9362
6001406202,0.993
6001406300,0.9576
6001406400,0.7772
6001406500,0.9590000000000001
6001406601,0.7447
6001406602,0.7508
6001406700,0.3524
6001406800,0.3889
6001406900,0.2786
6001407000,0.8803
6001407101,0.7197
6001407102,0.9314
6001407200,0.9902
6001407300,0.8429
6001407400,0.9436
6001407500,0.9971
6001407600,0.7082
6001407700,0.2906
6001407800,0.5411
6001407900,0.1836
6001408000,0.28800000000000003
6001408100,0.0407
6001408200,0.6185
6001408300,0.557
6001408400,0.7291
6001408500,0.7684
6001408600,0.9566
6001408700,0.9077
6001408800,0.9470000000000001
6001408900,0.9936
6001409000,0.8694
6001409100,0.7677
6001409200,0.6847
6001409300,0.961
6001409400,0.8246
6001409500,0.9569
6001409600,0.8385
6001409700,0.9105
6001409800,0.7314
6001409900,0.2312
6001410000,0.115
6001410100,0.6235
6001410200,0.8343
6001410300,0.7466
6001410400,0.7581
6001410500,0.8877
6001420100,0.0952
6001420200,0.3982
6001420300,0.2951
6001420400,0.4465
6001420500,0.4091
6001420600,0.1775
6001421100,0.0283
6001421200,0.0033
6001421300,0.0076
6001421400,0.128
6001421500,0.0219
6001421600,0.049
6001421700,0.3588
6001421800,0.1656
6001421900,0.3389
6001422000,0.507
6001422100,0.3514
6001422200,0.2139
6001422300,0.1515
6001422400,0.1715
6001422500,0.3543
6001422600,0.0351
6001422700,0.575
6001422800,0.6161
6001422900,0.5945
6001423000,0.2884
6001423100,0.4754
6001423200,0.5987
6001423300,0.462
6001423400,0.3699
6001423500,0.4796
6001423601,0.2192
6001423602,0.3314
6001423700,0.2939
6001423800,0.0292
6001423901,0.2574
6001423902,0.1427
6001424001,0.4246
6001424002,0.4497
6001425101,0.3198
6001425102,0.1125
6001425103,0.0182
6001425104,0.5458
6001426100,0.0327
6001426200,0.0244
6001427100,0.1499
6001427200,0.6315
6001427300,0.4248
6001427600,0.6517
6001427700,0.2353
6001427800,0.2451
6001427900,0.0742
6001428000,0.4319
6001428100,0.3207
6001428200,0.3067
6001428301,0.0698
6001428302,0.1925
6001428400,0.3181
6001428500,0.5023
6001428600,0.499
6001428700,0.7682
6001430101,0.0876
6001430102,0.1331
6001430200,0.1163
6001430300,0.087
6001430400,0.134
6001430500,0.7120000000000001
6001430600,0.1764
6001430700,0.1338
6001430800,0.5109
6001430900,0.8479
6001431000,0.5723
6001431100,0.5016
6001431200,0.3973
6001432100,0.3073
6001432200,0.5351
6001432300,0.3526
6001432400,0.6945
6001432501,0.5533
6001432502,0.5416
6001432600,0.7047
6001432700,0.4036
6001432800,0.1502
6001433000,0.4519
6001433102,0.5935
6001433103,0.6011
6001433104,0.7788
6001433200,0.7245
6001433300,0.49
6001433400,0.4737
6001433500,0.5257
6001433600,0.6374
6001433700,0.5614
6001433800,0.6676
6001433900,0.972
6001434000,0.8859999999999999
6001435102,0.2877
6001435103,0.1052
6001435104,0.6642
6001435200,0.4437
6001435300,0.5848
6001435400,0.7074
6001435500,0.6813
6001435601,0.6892
6001435602,0.8271
6001435700,0.6111
6001435800,0.3653
6001435900,0.419
6001436000,0.3339
6001436100,0.6662
6001436200,0.8564
6001436300,0.7864
6001436401,0.4961
6001436402,0.1424
6001436500,0.5428
6001436601,0.5573
6001436602,0.6469
6001436700,0.6612
6001436800,0.5001
6001436900,0.535
6001437000,0.5345
6001437101,0.4339
6001437102,0.7469
6001437200,0.6255
6001437300,0.7425
6001437400,0.5118
6001437500,0.7659
6001437600,0.741
6001437701,0.6981
6001437702,0.6071
6001437800,0.5188
6001437900,0.5332
6001438000,0.4214
6001438100,0.4809
6001438201,0.5317
6001438203,0.6284
6001438204,0.5954
6001438300,0.5038
6001438400,0.5287
6001440100,0.5237
6001440200,0.4713
6001440301,0.5547
6001440304,0.5201
6001440305,0.405
6001440306,0.4888
6001440307,0.6237
6001440308,0.365
6001440331,0.4837
6001440332,0.0599
6001440333,0.3005
6001440334,0.2998
6001440335,0.1112
6001440336,0.374
6001441100,0.4184
6001441200,0.2355
6001441301,0.1887
6001441302,0.3022
6001441401,0.3325
6001441402,0.1798
6001441501,0.1237
6001441503,0.3002
6001441521,0.3064
6001441522,0.3152
6001441523,0.1535
6001441524,0.177
6001441601,0.3004
6001441602,0.4001
6001441700,0.4393
6001441800,0.3146
6001441921,0.2615
6001441923,0.6497
6001441924,0.1151
6001441925,0.1289
6001441926,0.4089
6001441927,0.2818
6001442000,0.071
6001442100,0.1607
6001442200,0.0825
6001442301,0.4115
6001442302,0.4751
6001442400,0.1898
6001442500,0.5362
6001442601,0.2879
6001442602,0.3835
6001442700,0.0785
6001442800,0.2698
6001442900,0.327
6001443001,0.253
6001443002,0.4595
6001443102,0.1032
6001443103,0.2193
6001443104,0.3449
6001443105,0.0208
6001443200,0.0524
6001443301,0.0453
6001443321,0.337
6001443322,0.1133
6001444100,0.2756
6001444200,0.3662
6001444301,0.1864
6001444302,0.3329
6001444400,0.4766
6001444500,0.451
6001444601,0.1862
6001444602,0.1009
6001450101,0.2165
6001450102,0.3453
6001450200,0.1447
6001450300,0.13699999999999998
6001450400,0.2598
6001450501,0.1505
6001450502,0.1305
6001450601,0.0112
6001450602,0.0777
6001450603,0.1086
6001450604,0.1044
6001450605,0.1592
6001450606,0.0385
6001450607,0.402
6001450701,0.0445
6001450741,0.3206
6001450742,0.1216
6001450743,0.21600000000000003
6001450744,0.2159
6001450745,0.1294
6001450746,0.1478
6001450750,0.1304
6001450751,0.0564
6001450752,0.0494
6001451101,0.1464
6001451102,0.0144
6001451201,0.2259
6001451202,0.0321
6001451300,0.1624
6001451401,0.2436
6001451403,0.2539
6001451404,0.3944
6001451501,0.2928
6001451503,0.375
6001451504,0.141
6001451505,0.0021
6001451506,0.3941
6001451601,0.0984
6001451602,0.3709
6001451701,0.1137
6001451703,0.0251
